question,answer
遊戲 下列哪一個鑄寶是紫色品質的,滅靈神槍
遊戲 下列哪一種古寶可以提供心倍率加成,10
遊戲 下列哪一種古寶可以提供洞府靈氣加成,聚靈玉璧
遊戲 下列哪一種古寶可以提供秘境掛機靈石加成,玄金葫蘆
遊戲 下列哪一種古寶是主動古寶,龍淵劍
遊戲 下列哪一項不是化身的天賦,豐緣
遊戲 下列哪一項功法是一​​級功法,玄靈龜
遊戲 中天北域中徵戰最終傷害加成節點屬於哪一種遊歷類型,中天山河
遊戲 中天南域/北域中增加基礎氣血人口的族群屬於哪一種遊歷類型,中天奇寶
遊戲 以下不屬於仙族的仙靈是,金吒
遊戲 以下各種仙魔法寶都屬於魔修,1000
遊戲 以下幾種古寶無法為輪迴池玩法提供補充,800
遊戲 兩位仙友想要結為道情侶,雙方均為初次結偶
遊戲 初級靈脈的儲量是多少,400
遊戲 初級靈脈的儲量是多少,0.6
遊戲 小世界抽取天象 需要消耗什麼道具,天象玉鈴
遊戲 神秘獸魂石無法鑑定出哪一種物品,機緣
遊戲 紫色突破丹藥可以增加多少突破機率,0.3
遊戲 鎮妖塔每日提供的收益類型為,神通心得
遊戲「映陰曹一角降世，單此界靈土，削魂厄魄，如陷鬼沼」是訴哪一神通,冥術陰曹暗
遊戲「此手段無窮無盡，又具有金剛不壞之力，達到武道乾陽之極。代表哪一神通,封魔困龍手
遊戲下列哪一個不是仙靈可以增加仙界秘境妖丹取得,同年功曹
遊戲下列哪一個不是古寶升星所的材質,探寶令
遊戲下列哪一個仙靈絕技可以對敵方所有目標造成傷害,六層
遊戲下列哪一個仙靈絕技可以解鎖自身減益,劍靈轉世
遊戲下列哪一個仙靈絕技無法回復自身氣血,螢惑守心
遊戲下列哪一個造化至寶可用於提純丹藥,造化玉
遊戲世界天道中無法獲得下列哪一種屬性加成,神通傷害加成
遊戲今年是多長,15分鐘
遊戲仙靈月舞的絕技效果,攻擊八次並附加虛弱
遊戲仙靈精衛的絕技效果,附加屏障
遊戲仙靈絕技修習到幾階時將解鎖絕技的使用,會心倍率
遊戲仙魔寶鑑中無法獲得以下哪種道具,橙色仙魔法寶
遊戲仙魔決在非休賽季轉修仙魔要花費原來幾倍的機緣,3
遊戲仙魔決每期可從挑戰任務中最多獲得多少機緣,40%
遊戲仙魔法寶幽凱固本效果的初試傷害減免比例是多少,300
遊戲仙魔法寶戰缽可以附加幾秒鐘的定身效果,2
遊戲以下哪一個不是跨界論道紀元第一名獎勵道號,跨界道尊
遊戲以下哪一個不是鬼修的修練境界,煞劫
遊戲以下哪一個不是鬼修的修練境界,跨界道尊
遊戲以下哪一個標題是跨界論道紀元第一名獎勵道號是什麼,武極
遊戲以下哪個神通不帶致盲效果,十方圓融墜
遊戲修仙者的化身修練到什麼境界時可以啟動天賦,螢惑守心
遊戲修行之路的刷新間隔是多少天,14
遊戲八荒逐鹿活動單場最多幾個宗門參與,14
遊戲古寶重置的冷卻時間是,24/新山
遊戲外域探寶10次需要消耗多少機緣,2000
遊戲大境界渡劫時使用劫盾，可以抵禦多少雷劫傷害,凝神玉璧
遊戲大境界渡劫時使用靈盾，可以承受多少雷劫傷害,0.3
遊戲天地法則一共有幾本,12
遊戲天玄破事哪一種靈獸的天賦技能,玄靈龜
遊戲天玄破事哪一種靈獸的天賦技能,20
遊戲宗門亂鬥活動是周幾進行,週六
遊戲宗門事務的事務令有何作用,提升交易等級
遊戲將夜明珠召喚仙友，可以增加多少好感度,陰司審判
遊戲將松鶴圖輸送仙友，可以增加多少好感度,魑魅
遊戲將洛神賦給仙友，可以增加多少好感度,1000
遊戲將洛神賦給仙友，可以增加多少好感度,煞劫
遊戲小世界引靈需要消耗什麼道具,尋仙命引
遊戲山河斬妖的紅品寶珠每次計算數量加多少,神秘靈獸袋
遊戲想要從合體修練到大乘境界，需要過什麼關,合體
遊戲成道之路中無法獲得下列哪一種屬性加成,每日福緣
遊戲提供藥園澆灌時間加成屬性的仙友錄仙友是哪位,楊戩
遊戲橙色突破丹藥可以降低多少比例的元神恢復時間,1
遊戲歷練點的取得管道不包括,0.55
遊戲每500次神遊三界即可獲得福贈獎勵包括,自選絕技箱
遊戲每天第一次澆灌藥園需要消耗多少機緣,長生訣
遊戲每累計多少鍛造值後，下次鍛造必出紫色以上的裝備,100
遊戲消耗輪迴玉，修仙者可以在輪迴池中經歷什麼,一世人生
遊戲渡劫時可以使用什麼來減少雷劫的傷害,靈盾
遊戲神秘靈獸袋中無法獲得下列哪一種靈獸,羽玄蛇
遊戲秘藥無法增加下列幾種屬性,會心倍率
遊戲聚仙宴的酒會仙禮開不出什麼資源,離
遊戲藏經閣每週最多兌換幾本神通要訣,3
遊戲解鎖《化龍訣》功法需要下列哪一種靈獸達到中品,幽冥蛟龍
遊戲諸天絕技陣的陣眼升級需要消耗什麼材料,11個(遊戲裡是2個)
遊戲那樣的效果可以和真元護盾同時存在,屏障
遊戲鑄寶鑄造是需要消耗多少碎片,0.6
遊戲靈獸化形需要達到什麼品質,珍品2000
遊戲領域的CD有多少,60秒(120:小生90)
過江千尺浪,入竹萬根斜
道侶贈送次數,10
道是無晴卻有晴,東邊日出西邊雨
遙望洞庭山水翠,白銀盤裡一青螺
遙知兄弟登高處,遍插茱萸少一人
遠上寒山石徑斜,白雲生處有人家
遠處寒山石徑斜,白雲生處有人家
遠近高低各不同,橫看成嶺側成峰
遲日江山麗,春風花草香
遺民淚盡胡塵裡,南望王師又一年
酒債尋常行處有,人生七十古來稀
醉臥沙場君莫笑,古來徵戰幾人回
醉臥知萬事空,悲不見九州同
野火燒不盡,春風吹又生
鎮妖塔共有幾層,1500
鎮魔深淵每一檔挑戰獎勵有多少玄晶石,90
鎮魔深淵超過幾個仙友一起戰鬥可以加成,96
鑄寶強化需要消耗各種道具,鑄寶隕鐵、天罡木
長安回望繡成堆,山頂千門次第開
開啟一次玄光寶盒需要消耗多少玄光玉簡,30
闖蕩天界需要消耗多少靈石,億萬
隔江猶唱後庭花,商女不知亡國恨
離離原上草,一歲一枯榮
雷劫珠可以對獸潮造成多少傷害,30億
靈界中，飛廉在羽族招喚出了什麼魔物,五行元靈
靈界劇情中，九幽虛簧鼎的剋星是甚麼法寶,五行靈盤
青山隱隱水迢迢,秋盡江南草未凋
領域不包含單一,修羅領域
領域養成材料無法從以下哪種途徑獲得,萬族征途
風行丹可以增加以下幾種屬性,物理閃避
飄飄何所似,天地一沙鷗
飛流直下三千尺,疑是銀河落九天
駕馭鬼方向秘術的施展名稱叫什麼,魄奪控魂
騰龍散可以增加甚麼修為,練體修為
鬼道異途 中 幽冥消息最靈通的是,墓音鬼使
魑魅對你佈下的幻境名稱是,問心幻境
鳥去鳥來山色裡,人歌人哭水聲中
黃河遠上白雲間,一片孤城萬仞山
黑雲翻墨未遮山,白雨跳珠亂入船
龍靈丹是什麼境界的丹藥,元嬰
